Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-08-29,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,13.49,SALE,NEW,,FR,
2022-08-29,2022-08-29,2022-09-28,SUBSCRIPTION,PAYPAL,,,PAYPAL,13.49,EUR,2.25,13.49,SALE,NEW,SETTLED,FR,2022-09-29
2022-08-29,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,13.49,SALE,APPROVED,,FR,
2022-08-29,2022-08-29,2022-09-28,SUBSCRIPTION,PAYPAL,,,PAYPAL,13.49,EUR,2.25,13.49,SALE,APPROVED,SETTLED,FR,2022-09-29
2022-08-07,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,8.99,SALE,NEW,,FR,
2022-08-07,2022-08-07,2022-09-06,SUBSCRIPTION,PAYPAL,,,PAYPAL,8.99,EUR,1.5,8.99,SALE,NEW,SETTLED,FR,2022-09-07
2022-08-07,2022-08-07,2022-09-06,SUBSCRIPTION,PAYPAL,,,PAYPAL,8.99,EUR,1.5,8.99,SALE,APPROVED,SETTLED,FR,2022-09-07
2022-08-07,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,8.99,SALE,APPROVED,,FR,
2022-07-07,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,8.99,SALE,APPROVED,,FR,
2022-07-07,2022-07-07,2022-08-06,SUBSCRIPTION,PAYPAL,,,PAYPAL,8.99,EUR,1.5,8.99,SALE,NEW,SETTLED,FR,2022-08-07
2022-07-07,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,8.99,SALE,NEW,,FR,
